recency,history_segment,history,mens,womens,zip_code,newbie,channel,treatment,target
10,1,142.44,1,0,1,0,1,1,0
6,2,329.08,1,1,2,1,2,0,0
7,1,180.65,0,1,1,1,2,1,0
9,4,675.83,1,0,2,1,2,0,0
2,0,45.34,1,0,0,0,2,1,0
6,1,134.83,0,1,1,0,1,1,1
9,2,280.2,1,0,1,1,1,1,0
9,0,46.42,0,1,0,0,1,1,0
9,4,675.07,1,1,2,1,1,0,0
10,0,32.84,0,1,0,1,2,1,0
7,4,548.91,0,1,0,1,1,1,1
1,2,211.45,0,1,0,1,1,1,0
5,4,642.9,0,1,1,1,0,1,0
2,1,101.64,0,1,0,0,2,0,1
4,2,241.42,0,1,2,1,0,0,0
3,0,58.13,1,0,0,1,2,0,1
5,0,29.99,1,0,1,0,1,0,0
9,1,112.35,1,0,2,0,2,0,0
11,2,219.04,1,1,1,0,1,0,0
5,5,828.42,1,0,1,1,0,0,0
9,0,29.99,0,1,1,1,1,0,0
11,1,182.32,1,0,1,0,1,0,0
2,1,118.4,1,0,1,0,2,0,1
2,0,29.99,0,1,0,1,1,0,0
4,0,78.24,1,0,1,0,2,0,0
6,1,139.87,0,1,2,1,2,0,0
12,1,115.39,0,1,1,0,1,0,1
6,1,162.98,0,1,1,0,2,0,0
7,3,435.73,0,1,0,1,2,0,0
2,2,203.35,1,0,2,0,2,0,0
2,2,237.53,0,1,1,0,1,1,0
9,2,334.24,1,0,0,0,2,0,0
6,1,128.01,0,1,0,0,2,0,0
9,0,29.99,1,0,1,1,1,0,0
3,0,29.99,1,0,2,0,2,1,0
4,2,218.72,0,1,0,0,0,1,0
1,4,514.52,0,1,1,1,2,0,0
4,5,766.47,1,1,0,1,0,0,0
10,0,63.79,1,0,2,1,1,1,0
7,4,520.43,0,1,1,1,2,0,0
11,2,236.97,1,1,0,1,1,0,0
3,0,99.23,1,0,2,0,2,0,1
9,2,204.18,0,1,1,0,2,1,0
2,3,492.02,1,0,1,0,1,0,0
1,0,48.32,0,1,0,0,2,0,0
10,0,29.99,1,0,1,0,1,0,0
2,3,391.33,1,0,1,0,2,0,0
1,4,729.7,1,1,1,1,2,0,0
3,1,134.59,1,0,0,1,1,1,1
10,0,61.09,0,1,1,0,2,1,0
3,2,203.3,0,1,1,0,2,0,0
9,1,185.43,1,0,0,0,2,0,0
7,0,29.99,0,1,0,1,1,0,0
9,0,78.62,1,0,0,0,2,0,0
12,1,150.06,0,1,1,0,1,0,0
6,0,42.66,1,0,1,0,2,0,0
